date,value
1990,1029075.527
1991,995983.881
1992,997544.933
1993,945424.288
1994,1033504.288
1995,1032973.77
1996,1063855.51
1997,1089931.782
1998,1117535.16
1999,1100431.43
2000,1073611.56
2001,1127688.806
2002,1094283.044
2003,1071752.573
2004,1112098.87
2005,1131498.099
2006,1162749.659
2007,1146635.345
2008,1171808.669
2009,1074923.392
2010,1084368.148
2011,1095627.536
2012,1016458.418
2013,984841.779
2014,1000048.758
2015,896940.563
2016,728364.498
2017,774609.357
2018,756167.095
2019,706309.263
2020,535434.354